NPS_in,OD_in,5s,5,10,10s,20,30,40s,40,60,80s,80,100,120,140,160,Dbl,Std,E.H.
0.125,0.405,,0.035,0.049,0.049,,,0.068,0.068,,0.095,0.095,,,,,,0.068,0.095
0.25,0.54,,0.049,0.065,0.065,,,0.088,0.088,,0.119,0.119,,,,,,0.088,0.119
0.375,0.675,,0.049,0.065,0.065,,,0.091,0.091,,0.126,0.126,,,,,,0.091,0.126
0.5,0.84,0.065,0.065,0.083,0.083,,,0.109,0.109,,0.147,0.147,,,,0.188,0.294,0.109,0.147
0.75,1.05,0.065,0.065,0.083,0.083,,,0.113,0.113,,0.154,0.154,,,,0.219,0.308,0.113,0.154
1,1.315,0.065,0.065,0.109,0.109,,,0.133,0.133,,0.179,0.179,,,,0.25,0.358,0.133,0.179
1.25,1.66,0.065,0.065,0.109,0.109,,,0.14,0.14,,0.191,0.191,,,,0.25,0.382,0.14,0.191
1.5,1.9,0.065,0.065,0.109,0.109,,,0.145,0.145,,0.2,0.2,,,,0.281,0.4,0.145,0.2
2,2.375,0.065,0.065,0.109,0.109,,,0.154,0.154,,0.218,0.218,,,,0.344,0.436,0.154,0.218
2.5,2.875,0.083,0.083,0.12,0.12,,,0.203,0.203,,0.276,0.276,,,,0.375,0.552,0.203,0.276
3,3.5,0.083,0.083,0.12,0.12,,,0.216,0.216,,0.3,0.3,,,,0.438,0.6,0.216,0.3
3.5,4,0.083,0.083,0.12,0.12,,,0.226,0.226,,0.318,0.318,,,,,0.636,0.226,0.318
4,4.5,0.083,0.083,0.12,0.12,,,0.237,0.237,0.281,0.337,0.337,,0.438,,0.531,0.674,0.237,0.337
4.5,5,,,,,,,0.247,,,0.355,,,,,,0.71,0.247,0.355
5,5.563,0.109,0.109,0.134,0.134,,,0.258,0.258,,0.375,0.375,,0.5,,0.625,0.75,0.258,0.375
6,6.625,0.109,0.109,0.134,0.134,,,0.28,0.28,,0.432,0.432,,0.562,,0.719,0.864,0.28,0.432
7,7.625,,,,,,,0.301,,,0.5,,,,,,0.875,0.301,0.5
8,8.625,0.109,0.109,0.148,0.148,0.25,0.277,0.322,0.322,0.406,0.5,0.5,0.594,0.719,0.812,0.906,0.875,0.322,0.5
9,9.625,,,,,,,0.342,,,0.5,,,,,,,0.342,0.5
10,10.75,0.134,0.134,0.165,0.165,0.25,0.307,0.365,0.365,0.5,0.5,0.594,0.719,0.844,1,1.125,1,0.365,0.5
11,11.75,,,,,,,0.375,,,0.5,,,,,,,0.375,0.5
12,12.75,0.156,0.165,0.18,0.18,0.25,0.33,0.375,0.406,0.562,0.5,0.688,0.844,1,1.125,1.312,,0.375,0.5
14,14,0.156,,0.25,0.188,0.312,0.375,0.375,0.438,0.594,0.5,0.75,0.938,1.094,1.25,1.406,,0.375,0.5
16,16,0.165,,0.25,0.188,0.312,0.375,0.375,0.5,0.656,0.5,0.844,1.031,1.218,1.437,1.594,,0.375,0.5
18,18,0.165,,0.25,0.188,0.312,0.438,0.375,0.562,0.75,0.5,0.938,1.156,1.375,1.562,1.781,,0.375,0.5
20,20,0.188,,0.25,0.218,0.375,0.5,0.375,0.594,0.812,0.5,1.031,1.281,1.5,1.75,1.969,,0.375,0.5
24,24,0.218,,0.25,0.25,0.375,0.562,0.375,0.688,0.969,0.5,1.219,1.531,1.812,2.062,2.344,,0.375,0.5
26,26,,,,0.312,0.5,,0.375,,,0.5,,,,,,,0.375,0.5
28,28,,,,0.312,0.5,0.625,0.375,,,,,,,,,,0.375,
30,30,0.25,,0.312,0.312,0.5,0.625,0.375,,,0.5,,,,,,,0.375,0.5
32,32,,,,0.312,0.5,0.625,0.375,0.688,,0.5,,,,,,,0.375,0.5
34,34,,,,0.312,0.5,0.625,0.375,0.688,,,,,,,,,0.375,
36,36,,,,0.312,,0.625,0.375,0.75,,0.5,,,,,,,0.375,0.5
